indicador,data,valor
pib,01/10/2007,245688.0
pib,01/11/2007,243269.2
pib,01/12/2007,237382.1
pib,01/01/2008,232824.8
pib,01/02/2008,231982.2
pib,01/03/2008,247248.3
pib,01/04/2008,253194.4
pib,01/05/2008,255747.4
pib,01/06/2008,260583.4
pib,01/07/2008,271290.4
pib,01/08/2008,268546.1
pib,01/09/2008,272766.1
pib,01/10/2008,284913.7
pib,01/11/2008,272120.8
pib,01/12/2008,258585.6
pib,01/01/2009,244784.1
pib,01/02/2009,242496.9
pib,01/03/2009,268846.1
pib,01/04/2009,263434.9
pib,01/05/2009,268734.4
pib,01/06/2009,271408.2
pib,01/07/2009,281453.8
pib,01/08/2009,282514.8
pib,01/09/2009,288874.7
pib,01/10/2009,309141.3
pib,01/11/2009,307943.5
pib,01/12/2009,303406.8
pib,01/01/2010,284387.8
pib,01/02/2010,283355.0
pib,01/03/2010,318654.6
pib,01/04/2010,311649.1
pib,01/05/2010,315947.2
pib,01/06/2010,316548.7
pib,01/07/2010,328892.6
pib,01/08/2010,332376.6
pib,01/09/2010,336665.5
pib,01/10/2010,350938.6
pib,01/11/2010,358431.8
pib,01/12/2010,347999.4
pib,01/01/2011,327592.4
pib,01/02/2011,332316.4
pib,01/03/2011,356621.8
pib,01/04/2011,354607.7
pib,01/05/2011,368282.8
pib,01/06/2011,363821.7
pib,01/07/2011,367341.2
pib,01/08/2011,374873.1
pib,01/09/2011,370119.9
pib,01/10/2011,383767.3
pib,01/11/2011,391536.4
pib,01/12/2011,385501.2
pib,01/01/2012,364188.7
pib,01/02/2012,367527.7
pib,01/03/2012,397757.8
pib,01/04/2012,385882.7
pib,01/05/2012,401863.7
pib,01/06/2012,395379.2
pib,01/07/2012,409024.9
pib,01/08/2012,418752.4
pib,01/09/2012,402671.5
pib,01/10/2012,431399.9
pib,01/11/2012,426614.8
pib,01/12/2012,413696.7
pib,01/01/2013,408895.0
pib,01/02/2013,398087.4
pib,01/03/2013,434631.2
pib,01/04/2013,446508.1
pib,01/05/2013,441321.9
pib,01/06/2013,434750.0
pib,01/07/2013,452593.1
pib,01/08/2013,453785.4
pib,01/09/2013,447755.6
pib,01/10/2013,475721.2
pib,01/11/2013,470316.2
pib,01/12/2013,467253.9
pib,01/01/2014,453273.2
pib,01/02/2014,455505.0
pib,01/03/2014,477202.9
pib,01/04/2014,479729.6
pib,01/05/2014,481273.3
pib,01/06/2014,461318.9
pib,01/07/2014,486873.2
pib,01/08/2014,483777.9
pib,01/09/2014,491474.3
pib,01/10/2014,509077.9
pib,01/11/2014,498547.5
pib,01/12/2014,500899.3
pib,01/01/2015,474529.8
pib,01/02/2015,466846.2
pib,01/03/2015,515282.6
pib,01/04/2015,496750.3
pib,01/05/2015,492007.2
pib,01/06/2015,491212.3
pib,01/07/2015,507224.4
pib,01/08/2015,501092.9
pib,01/09/2015,499911.0
pib,01/10/2015,520504.9
pib,01/11/2015,513593.7
pib,01/12/2015,516831.7
pib,01/01/2016,482312.4
pib,01/02/2016,490005.4
pib,01/03/2016,527981.1
pib,01/04/2016,520514.5
pib,01/05/2016,516225.3
pib,01/06/2016,522310.4
pib,01/07/2016,522244.2
pib,01/08/2016,530379.4
pib,01/09/2016,524546.8
pib,01/10/2016,539142.6
pib,01/11/2016,545369.3
pib,01/12/2016,548296.5
pib,01/01/2017,514606.7
pib,01/02/2017,510331.4
pib,01/03/2017,560735.3
pib,01/04/2017,537212.6
pib,01/05/2017,550228.4
pib,01/06/2017,543288.6
pib,01/07/2017,548546.4
pib,01/08/2017,556040.1
pib,01/09/2017,544048.8
pib,01/10/2017,568311.3
pib,01/11/2017,573531.3
pib,01/12/2017,578598.2
pib,01/01/2018,552909.3
pib,01/02/2018,539594.3
pib,01/03/2018,589579.6
pib,01/04/2018,586996.3
pib,01/05/2018,561996.7
pib,01/06/2018,585106.0
pib,01/07/2018,592655.3
pib,01/08/2018,598950.8
pib,01/09/2018,576249.6
pib,01/10/2018,611739.6
pib,01/11/2018,607006.6
pib,01/12/2018,601357.1
pib,01/01/2019,578633.9
pib,01/02/2019,576752.6
pib,01/03/2019,602167.0
pib,01/04/2019,613054.4
pib,01/05/2019,616084.6
pib,01/06/2019,597622.2
pib,01/07/2019,632358.3
pib,01/08/2019,630508.2
pib,01/09/2019,617743.7
pib,01/10/2019,648807.2
pib,01/11/2019,637204.1
pib,01/12/2019,638194.7
pib,01/01/2020,614606.3
pib,01/02/2020,618358.0
pib,01/03/2020,635130.3
pib,01/04/2020,568319.7
pib,01/05/2020,576520.7
pib,01/06/2020,607883.2
pib,01/07/2020,644344.5
pib,01/08/2020,637203.8
pib,01/09/2020,647775.1
pib,01/10/2020,673801.3
pib,01/11/2020,679288.9
pib,01/12/2020,706365.2
pib,01/01/2021,679409.4
pib,01/02/2021,707069.5
pib,01/03/2021,770191.2
pib,01/04/2021,737988.7
pib,01/05/2021,731115.9
pib,01/06/2021,734534.2
pib,01/07/2021,765786.9
pib,01/08/2021,767702.0
pib,01/09/2021,762362.1
pib,01/10/2021,772087.9
pib,01/11/2021,787850.1
pib,01/12/2021,796044.0
pib,01/01/2022,723260.5
pib,01/02/2022,753542.5
pib,01/03/2022,842725.1
pib,01/04/2022,832197.8
pib,01/05/2022,841737.2
pib,01/06/2022,843546.5
pib,01/07/2022,869411.0
pib,01/08/2022,873994.8
pib,01/09/2022,857776.1
